,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-34.64,-46.04,-37.432,-36.411,-33.712,-46.401,-36.492,-37.571,-36.774,-34.789,-35.779,-37.632,-35.191,-46.853,-34.160000000000004,-35.906
1,-37.434,-33.817,-35.617,-34.642,-47.456,-46.482,-33.767,-35.779,-35.007,-37.585,-34.95,-37.708,-37.915,-46.807,-34.154,-47.103
2,-46.173,-45.858000000000004,-46.12,-33.599000000000004,-33.664,-36.486000000000004,-37.305,-46.410000000000004,-34.835,-34.839,-46.222,-34.15,-35.914,-46.689,-37.519,-47.024
3,-37.175000000000004,-45.779,-36.237,-37.09,-37.262,-46.393,-33.508,-34.522,-35.569,-33.703,-37.386,-36.682,-35.803,-33.795,-35.53,-35.604
4,-33.542,-34.476,-33.556,-35.339,-33.515,-33.566,-36.27,-46.341,-34.76,-46.053000000000004,-37.356,-34.687,-37.653,-35.653,-35.768,-34.752
5,-34.571,-35.47,-46.287,-34.513,-35.526,-34.609,-46.265,-36.566,-35.794000000000004,-46.223,-37.47,-37.395,-46.235,-46.643,-37.183,-37.708
6,-34.516,-34.511,-46.285000000000004,-36.296,-33.606,-46.207,-33.583,-34.662,-46.234,-46.161,-33.792,-46.479,-46.356,-33.92,-46.749,-34.897
7,-34.599000000000004,-37.287,-35.537,-36.384,-47.821,-46.324,-37.31,-46.75,-35.801,-46.325,-46.227000000000004,-46.574,-46.433,-33.982,-35.266,-47.050000000000004
8,-46.171,-45.875,-36.347,-35.375,-47.609,-37.277,-33.57,-34.633,-34.777,-36.448,-33.815,-37.447,-35.962,-36.649,-46.502,-47.254
9,-37.328,-33.662,-33.661,-46.201,-47.478,-46.354,-46.371,-34.712,-46.297000000000004,-34.742,-34.831,-46.628,-37.772,-36.733000000000004,-33.907000000000004,-47.214
10,-46.121,-34.523,-46.1,-33.524,-47.505,-46.192,-46.152,-46.552,-35.658,-37.487,-37.528,-46.463,-37.661,-35.749,-35.594,-37.595
11,-46.065,-36.302,-34.439,-33.452,-35.423,-34.484,-34.414,-35.494,-35.603,-46.395,-36.559,-46.453,-46.053000000000004,-35.679,-46.466,-36.533
12,-36.446,-46.056000000000004,-46.273,-36.349000000000004,-33.661,-46.252,-36.445,-46.405,-46.116,-46.197,-37.563,-34.04,-35.141,-36.744,-36.722,-46.78
13,-33.747,-34.674,-33.736000000000004,-33.673,-33.725,-46.534,-37.366,-35.747,-46.351,-35.685,-35.809,-37.619,-37.907000000000004,-37.703,-35.082,-34.993
14,-46.216,-36.410000000000004,-46.318,-35.469,-33.666000000000004,-36.484,-36.428,-37.491,-36.74,-37.42,-37.493,-46.412,-37.837,-36.774,-46.478,-34.077
15,-36.343,-36.328,-36.383,-34.477000000000004,-33.619,-36.393,-33.565,-35.588,-36.684,-37.339,-34.706,-46.295,-37.723,-36.660000000000004,-34.45,-36.774
16,-33.479,-36.201,-37.143,-34.325,-47.637,-35.358000000000004,-36.198,-33.603,-34.657000000000004,-34.474000000000004,-36.441,-35.53,-36.721000000000004,-37.428,-46.527,-37.474000000000004
17,-46.035000000000004,-35.301,-46.181000000000004,-46.011,-33.462,-33.486000000000004,-35.279,-37.307,-45.963,-33.641,-34.632,-37.442,-46.161,-46.788000000000004,-33.791000000000004,-36.511
18,-45.883,-46.137,-46.317,-33.504,-33.532000000000004,-46.289,-34.482,-36.501,-35.679,-33.737,-37.432,-46.296,-35.891,-33.89,-46.593,-34.793
19,-33.736000000000004,-46.054,-35.578,-46.205,-47.511,-46.511,-46.221000000000004,-36.657000000000004,-46.351,-36.692,-37.624,-36.025,-35.099000000000004,-34.986000000000004,-34.852000000000004,-33.998
20,-45.987,-45.836,-34.426,-36.175000000000004,-35.434,-46.454,-35.347,-46.49,-33.745,-46.205,-37.431,-36.719,-36.629,-34.759,-46.428000000000004,-36.512
